good,dirty,wait,lastyear,usa
0,0,5.42,22,1
1,0,5.26,4,1
1,1,1.41,3,1
1,0,0.91,5,1
1,0,5.42,14,1
1,0,5.42,8,1
0,0,5.42,4,1
1,0,5.42,3,1
1,0,5.42,14,1
0,0,5.42,4,1
1,0,4.77,8,1
0,0,5.34,11,1
0,0,5.42,1,1
1,0,0.66,8,1
0,0,4.61,5,1
0,0,4.96,8,1
0,0,4.61,3,1
1,0,5.14,6,1
1,0,5.34,9,1
0,0,0.74,4,1
1,0,0.99,2,1
1,0,1.72,1,1
0,0,5.51,3,1
1,0,5.51,1,1
1,0,2.74,5,1
0,0,2.36,1,1
0,0,0.66,5,1
0,0,5.51,2,1
0,0,5.51,1,1
1,0,1.41,1,1
0,2,5.59,5,1
1,0,5.51,1,1
1,1,5.19,3,1
1,0,5.51,2,1
0,5,5.51,7,1
0,0,4.77,1,1
0,2,5.51,12,1
0,0,5.51,4,1
0,0,5.51,2,1
1,0,0.99,1,0
0,0,0.99,1,0
0,0,0.74,3,0
0,0,1.92,1,0
0,0,1.51,17,0
0,0,2.36,2,0
0,0,5.42,3,0
1,0,0.99,1,0
1,0,0.99,1,0
0,0,1.92,1,0
0,0,5.51,1,0
1,0,1.92,1,0
1,0,0.99,27,0
1,0,0.99,61,0
1,0,5.67,10,0
1,0,1.51,1,0
1,0,0.99,6,0
1,0,0.99,8,0
0,0,3.06,3,0
0,0,0.99,1,0
1,0,5.34,1,0
0,0,0.99,5,0
1,0,5.67,1,0
1,0,1.24,2,1
1,0,1.41,2,1
1,0,1.92,2,1
1,0,1.24,9,1
0,0,1.61,1,1
1,0,1.24,5,1
0,0,1.32,1,1
0,0,1.24,1,1
1,0,5.59,3,1
1,0,1.07,1,1
0,0,1.24,1,1
1,0,0.74,1,1
1,0,5.26,1,1
0,0,5.26,1,1
0,0,5.51,1,1
1,0,1.51,4,1
0,0,4.17,1,1
1,0,0.74,1,1
1,0,0.99,1,1
0,1,0.74,3,1
0,1,1.24,1,1
1,0,0.99,2,1
1,0,1.59,1,0
0,0,1.59,1,0
1,0,1.99,1,0
1,0,2.81,2,0
0,0,1.59,1,0
1,0,5.59,2,0
1,0,1.07,1,0
1,0,1.72,1,0
0,2,1.07,9,0
1,0,1.32,1,0
0,0,5.59,2,0
1,0,0.91,1,0
0,0,1.59,2,0
0,0,5.67,2,0
1,0,5.67,1,0
1,0,5.67,1,0
1,0,5.67,3,0
1,0,5.67,1,0
1,0,5.67,1,0
1,0,5.67,6,0
1,0,5.67,1,0
1,0,5.67,3,0
0,0,5.67,4,0
1,0,5.67,2,0
1,0,5.67,3,0
0,0,5.67,2,0
1,0,5.67,1,0
0,0,5.67,2,0
1,0,5.67,6,0
